   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	 -0.680	  6.980	  7.660	 -3.150	  7.320	 -4.170	 -2.180	 -2.200	 -2.380	 -2.380	-80.000	 -2.140
       0:00.002	 -0.680	  6.875	  7.555	 -3.095	  7.215	 -4.120	 -2.130	 -2.155	 -2.335	 -2.320	-80.000	 -2.090
       0:00.004	 -0.680	  6.695	  7.375	 -3.005	  7.035	 -4.030	 -2.050	 -2.080	 -2.270	 -2.250	-80.000	 -2.015
       0:00.006	 -0.680	  6.515	  7.195	 -2.915	  6.855	 -3.940	 -1.970	 -2.010	 -2.200	 -2.175	-80.000	 -1.940
       0:00.008	 -0.675	  6.315	  6.990	 -2.820	  6.655	 -3.835	 -1.895	 -1.930	 -2.130	 -2.100	-80.000	 -1.875
       0:00.010	 -0.670	  6.135	  6.805	 -2.730	  6.470	 -3.740	 -1.835	 -1.870	 -2.070	 -2.040	-80.000	 -1.815
       0:00.012	 -0.655	  5.960	  6.615	 -2.650	  6.290	 -3.635	 -1.790	 -1.810	 -2.015	 -1.995	-80.000	 -1.760
       0:00.014	 -0.650	  5.760	  6.410	 -2.555	  6.085	 -3.530	 -1.720	 -1.740	 -1.950	 -1.930	-80.000	 -1.690
       0:00.016	 -0.640	  5.590	  6.230	 -2.475	  5.910	 -3.435	 -1.670	 -1.680	 -1.890	 -1.870	-80.000	 -1.630
       0:00.018	 -0.650	  5.460	  6.110	 -2.405	  5.785	 -3.380	 -1.615	 -1.635	 -1.840	 -1.815	-80.000	 -1.575
       0:00.020	 -0.655	  5.315	  5.970	 -2.330	  5.645	 -3.315	 -1.555	 -1.575	 -1.790	 -1.760	-80.000	 -1.515
       0:00.022	 -0.655	  5.190	  5.845	 -2.265	  5.520	 -3.250	 -1.490	 -1.510	 -1.735	 -1.700	-80.000	 -1.460
       0:00.024	 -0.650	  5.080	  5.730	 -2.215	  5.405	 -3.190	 -1.440	 -1.460	 -1.695	 -1.660	-80.000	 -1.430
       0:00.026	 -0.640	  5.000	  5.640	 -2.180	  5.320	 -3.140	 -1.415	 -1.435	 -1.670	 -1.635	-80.000	 -1.400
       0:00.028	 -0.640	  4.970	  5.610	 -2.165	  5.290	 -3.125	 -1.410	 -1.430	 -1.655	 -1.630	-80.000	 -1.395
       0:00.030	 -0.640	  4.935	  5.575	 -2.145	  5.255	 -3.110	 -1.395	 -1.415	 -1.635	 -1.615	-80.000	 -1.375
       0:00.032	 -0.635	  4.900	  5.535	 -2.130	  5.220	 -3.085	 -1.375	 -1.400	 -1.615	 -1.590	-80.000	 -1.370
       0:00.034	 -0.620	  4.910	  5.530	 -2.145	  5.220	 -3.075	 -1.370	 -1.400	 -1.610	 -1.580	-80.000	 -1.355
       0:00.036	 -0.610	  4.910	  5.520	 -2.150	  5.215	 -3.065	 -1.350	 -1.395	 -1.595	 -1.570	-80.000	 -1.340
       0:00.038	 -0.600	  4.910	  5.510	 -2.155	  5.210	 -3.055	 -1.330	 -1.375	 -1.575	 -1.555	-80.000	 -1.320
       0:00.040	 -0.610	  4.900	  5.510	 -2.145	  5.205	 -3.060	 -1.310	 -1.350	 -1.555	 -1.535	-80.000	 -1.300
       0:00.042	 -0.600	  4.855	  5.455	 -2.125	  5.155	 -3.030	 -1.280	 -1.315	 -1.530	 -1.510	-80.000	 -1.275
       0:00.044	 -0.580	  4.830	  5.410	 -2.125	  5.120	 -2.995	 -1.270	 -1.300	 -1.515	 -1.500	-80.000	 -1.255
       0:00.046	 -0.555	  4.820	  5.375	 -2.130	  5.100	 -2.965	 -1.255	 -1.300	 -1.510	 -1.500	-80.000	 -1.250
       0:00.048	 -0.535	  4.780	  5.315	 -2.120	  5.050	 -2.925	 -1.240	 -1.290	 -1.490	 -1.490	-80.000	 -1.220
       0:00.050	 -0.530	  4.755	  5.285	 -2.110	  5.020	 -2.910	 -1.220	 -1.275	 -1.475	 -1.475	-80.000	 -1.200
       0:00.052	 -0.515	  4.720	  5.235	 -2.100	  4.980	 -2.875	 -1.200	 -1.250	 -1.455	 -1.450	-80.000	 -1.175
       0:00.054	 -0.510	  4.675	  5.185	 -2.080	  4.930	 -2.850	 -1.170	 -1.215	 -1.420	 -1.410	-80.000	 -1.150
       0:00.056	 -0.510	  4.640	  5.150	 -2.065	  4.895	 -2.830	 -1.135	 -1.180	 -1.390	 -1.375	-80.000	 -1.120
       0:00.058	 -0.510	  4.580	  5.090	 -2.035	  4.835	 -2.800	 -1.100	 -1.150	 -1.355	 -1.340	-80.000	 -1.095
